"排名","代號","名稱","股價日期","成交","市值(億)","產業別","相關產業","漲跌幅","振幅(%)","成交額(百萬)","02/02成交量(張)","02/02成交量週轉率(%)"
"1",="2330","台積電","02/02","1765","457,709","半導體業","半導體–IC製造,半導體–晶圓代工","-0.56","1.13","49,152","28,034","0.11"
"2",="2308","台達電","02/02","1175","30,521","電子零組件業","電子零組件–電源供應器","-3.69","3.28","14,579","12,400","0.48"
"3",="2317","鴻海","02/02","214.5","29,953","其他電子業","3C周邊產品–印表機,電子零組件–連接器,電腦系統–伺服器,電腦系統–筆記型電腦","-2.72","2.95","13,178","61,168","0.44"
"4",="2454","聯發科","02/02","1705","27,347","半導體業","半導體–IC設計","-3.12","3.12","14,960","8,774","0.55"
"5",="3711","日月光投控","02/02","292","12,913","半導體業","半導體–IC封裝測試,半導體–IC製造","-1.68","3.2","3,958","13,548","0.31"
"6",="2881","富邦金","02/02","90.5","12,677","金控業","金融保險","-0.44","1.98","1,948","21,588","0.15"
"7",="0050","元大台灣50","02/02","71.5","11,397","國內成分股ETF","國內成分股ETF","-1.52","1.17","14,984","210,418","1.32"
"8",="2882","國泰金","02/02","74.3","10,899","金控業","金融保險","-1.46","3.45","2,132","28,876","0.2"
"9",="2382","廣達","02/02","273","10,545","電腦及週邊設備業","電腦系統–伺服器,電腦系統–筆記型電腦","-2.5","2.86","4,495","16,398","0.42"
"10",="2412","中華電","02/02","133","10,317","通信網路業","通信網路–電信/數據服務","-0.37","0.75","1,257","9,434","0.12"
"11",="2891","中信金","02/02","50.9","10,016","金控業","金融保險","0","1.77","1,324","26,102","0.13"
"12",="2408","南亞科","02/02","294","9,110","半導體業","半導體–DRAM製造,半導體–IC設計","-9.95","4.9","29,112","96,975","3.13"
"13",="2303","聯電","02/02","60.7","7,641","半導體業","半導體–IC製造,半導體–晶圓代工","-2.72","5.77","11,555","191,910","1.52"
"14",="7769","鴻勁","02/02","3750","6,747","半導體業","興半導體","0","3.6","3,099","814","0.45"
"15",="6669","緯穎","02/02","3605","6,700","電腦及週邊設備業","電腦系統–伺服器","+0.84","2.8","3,536","979","0.53"
"16",="2345","智邦","02/02","1140","6,397","通信網路業","通信網路–無線網路,通信網路–網路設備","+2.24","5.38","4,842","4,250","0.76"
"17",="2383","台光電","02/02","1785","6,190","電子零組件業","印刷電路板 (PCB)","+2.29","5.44","6,526","3,676","1.06"
"18",="3017","奇鋐","02/02","1490","5,784","電腦及週邊設備業","3C周邊產品","+2.05","6.16","9,577","6,489","1.67"
"19",="2886","兆豐金","02/02","38.8","5,755","金控業","金融保險","0","1.68","749","19,385","0.13"
"20",="3037","欣興","02/02","365","5,751","電子零組件業","印刷電路板 (PCB)","-3.57","5.81","32,030","87,275","5.54"
"21",="2885","元大金","02/02","42.2","5,626","金控業","金融保險","-1.97","2.67","928","21,892","0.16"
"22",="1303","南亞","02/02","70.6","5,599","塑膠工業","塑膠","-6.98","7.11","4,830","67,400","0.85"
"23",="2887","台新新光金","02/02","22.35","5,558","金控業","金融保險","-1.54","2.2","1,425","63,825","0.26"
"24",="2884","玉山金","02/02","33.3","5,386","金控業","金融保險","-0.3","2.25","969","29,324","0.18"
"25",="2327","國巨*","02/02","258","5,348","電子零組件業","被動元件","-7.03","5.23","10,679","40,944","1.98"
"26",="2344","華邦電","02/02","116","5,220","半導體業","半導體–DRAM製造,半導體–IC設計","-9.73","5.06","19,156","162,617","3.61"
"27",="0056","元大高股息","02/02","37.15","5,206","國內成分股ETF","國內成分股ETF","-1.14","0.88","3,133","84,345","0.6"
"28",="6505","台塑化","02/02","48.75","4,644","油電燃氣業","油電燃氣","-8.71","9.74","717","14,342","0.15"
"29",="8299","群聯","02/02","2145","4,626","半導體業","半導體–IC設計,電子零組件–Flash模組","-9.87","4.83","16,317","7,455","3.46"
"30",="2880","華南金","02/02","32.75","4,558","金控業","金融保險","-1.06","3.32","398","12,179","0.09"
"31",="00878","國泰永續高股息","02/02","22.47","4,516","國內成分股ETF","國內成分股ETF","-1.49","1.45","2,379","105,971","0.53"
"32",="3653","健策","02/02","2955","4,223","電子零組件業","半導體–導線架","+4.05","7.75","5,213","1,790","1.25"
"33",="2890","永豐金","02/02","28.6","4,148","金控業","金融保險","0","2.27","549","19,265","0.13"
"34",="2360","致茂","02/02","971","4,129","其他電子業","其他電子","-0.92","3.47","1,905","1,953","0.46"
"35",="2892","第一金","02/02","28.65","4,120","金控業","金融保險","-0.52","2.08","514","17,990","0.13"
"36",="3231","緯創","02/02","128","4,071","電腦及週邊設備業","電腦系統–伺服器,電腦系統–筆記型電腦","-1.92","2.3","3,669","28,607","0.9"
"37",="1216","統一","02/02","71.6","4,068","食品工業","食品生產–肉品加工,食品生產–食品加工,食品生產–速食麵,食品生產–調味料,食品生產–麵包、糕餅、零食,食品原料–小麥、麵粉,食品原料–玉米,食品原料–食用油,食品原料–黃豆,航運–倉儲物流,飲料類–乳品,飲料類–咖啡,飲料類–飲料生產","-0.14","1.39","507","7,078","0.12"
"38",="00919","群益台灣精選高息","02/02","23.08","3,995","國內成分股ETF","國內成分股ETF","-1.54","1.49","2,778","120,410","0.7"
"39",="2603","長榮","02/02","184","3,984","航運業","航運–海運,航運–貨櫃海運,航運–貨櫃場","-1.08","1.61","1,520","8,253","0.38"
"40",="3045","台灣大","02/02","105","3,909","通信網路業","通信網路–電信/數據服務","-0.47","0.95","607","5,765","0.15"
"41",="2301","光寶科","02/02","160.5","3,718","電腦及週邊設備業","3C周邊產品–光碟機,通信網路–光通訊,通信網路–無線網路,電子零組件–電源供應器","-2.13","3.66","2,832","17,677","0.76"
"42",="2357","華碩","02/02","499.5","3,710","電腦及週邊設備業","電子零組件–主機板,電腦系統–筆記型電腦,手機相關","+0.71","3.83","2,173","4,346","0.59"
"43",="5880","合庫金","02/02","23.35","3,661","金控業","金融保險","-0.85","1.27","466","19,925","0.13"
"44",="3443","創意","02/02","2685","3,598","半導體業","半導體–IC設計","+2.48","6.68","13,415","5,025","3.75"
"45",="2449","京元電子","02/02","285","3,485","半導體業","半導體–IC封裝測試,半導體–IC製造","-3.72","4.56","4,709","16,491","1.35"
"46",="2368","金像電","02/02","706","3,472","電子零組件業","印刷電路板 (PCB)","+0.71","5.85","6,733","9,517","1.93"
"47",="5274","信驊","02/02","9040","3,417","半導體業","半導體–IC設計","+1.8","4.22","2,369","265","0.7"
"48",="2002","中鋼","02/02","21.1","3,320","鋼鐵工業","鋼鐵","+1.69","3.86","4,060","191,558","1.22"
"49",="4904","遠傳","02/02","90.2","3,254","通信網路業","通信網路–電信/數據服務","+1.58","1.91","685","7,608","0.21"
"50",="3008","大立光","02/02","2355","3,143","光電業","消費性電子產品–數位相機","-2.28","2.9","1,826","769","0.58"
"51",="006208","富邦台50","02/02","165.35","3,081","國內成分股ETF","國內成分股ETF","-1.61","1.19","1,438","8,733","0.47"
"52",="2883","凱基金","02/02","18","3,055","金控業","金融保險","-0.28","1.11","561","31,320","0.18"
"53",="1519","華城","02/02","942","2,976","電機機械","電機機械","-2.89","3.09","3,291","3,487","1.1"
"54",="2207","和泰車","02/02","529","2,947","汽車工業","汽車","-2.76","3.31","190","359","0.06"
"55",="2059","川湖","02/02","3065","2,921","電子零組件業","電子零組件","-2.39","3.18","1,973","639","0.67"
"56",="6446","藥華藥","02/02","763","2,899","生技醫療業","生物科技","-0.91","3.51","3,959","5,221","1.37"
"57",="1301","台塑","02/02","44.3","2,820","塑膠工業","塑膠","-6.34","6.77","2,100","46,981","0.74"
"58","00937B","群益ESG投等債20+","02/02","15.18","2,786","債券ETF","債券ETF","+1.13","0.67","1,688","111,536","0.61"
"59",="6770","力積電","02/02","62.6","2,622","半導體業","半導體–IC製造,半導體–晶圓代工","-9.93","6.19","17,886","279,341","6.67"
"60",="3665","貿聯-KY","02/02","1325","2,570","其他電子業","電子零組件–連接器","+1.92","6.54","3,506","2,656","1.37"
